spider,category,subcategory,subsubcategory
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Cold and flu relief
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Pain Relief
Amazon,"Personal Care, Health & Beauty",Health & Wellness,OTC Medications & Treatments
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Sports Nutrition
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Vitamins & Supplements
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Sexual Wellness
Amazon,"Personal Care, Health & Beauty",Health & Wellness,First Aid
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Sleep & Snoring Aids
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Women's Health
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Foot Health Care Products
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Ear Care Products
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Incontinence & Ostomy Products
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Home Use Medical Supplies & Equipment
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Save on sports nutrition
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Start your day strong
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Protein-packed snacks
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Make a protein shake
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Plant-based protein
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Protein
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Pre-Workout
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Amino Acids
Amazon,"Personal Care, Health & Beauty",Sports Nutrition,Nutrition Bars
Amazon,Baby,Diapering & Training,Diapers
Amazon,Baby,Diapering & Training,Wipes
Amazon,Baby,Diapering & Training,Toilet Training Products
Amazon,Baby,Feeding & Formula,Beverages
Amazon,Baby,Feeding & Formula,Snack Foods
Amazon,Baby,Feeding & Formula,Cereal
Amazon,Baby,Feeding & Formula,Meals
Amazon,Baby,Feeding & Formula,Formula
Amazon,Baby,Feeding & Formula,Feeding Tools & Accessories
Amazon,Baby,Baby & Child Personal Care,Baby Bathing Products
Amazon,Baby,Baby & Child Personal Care,Hair Care for Children
Amazon,Baby,Baby & Child Personal Care,Nursing Pads
Amazon,Baby,Baby & Child Personal Care,Kid's Oral Hygiene Products
Amazon,Baby,Baby & Child Personal Care,Baby Skin Care
Amazon,Pets,Dogs,Dog Food
Amazon,Pets,Dogs,Dog Treats
Amazon,Pets,Dogs,Dog Toys
Amazon,Pets,Dogs,"Dog Collars, Harnesses & Leashes"
Amazon,Pets,Dogs,Dog Housebreaking Supplies
Amazon,Pets,Dogs,Dog Feeding & Watering Supplies
Amazon,Pets,Dogs,Dog Carriers & Travel Products
Amazon,Pets,Dogs,Dog Training & Behavior Aids
Amazon,Pets,Dogs,Dog Apparel & Accessories
Amazon,Pets,Cats,Cat Food
Amazon,Pets,Cats,Cat Treats
Amazon,Pets,Cats,Cat Litter & Housebreaking
Amazon,Pets,Cats,Cat Feeding & Watering Supplies
Amazon,More from Fresh,Shop all products,"Office supplies, school supplies, and more"
Amazon,More from Fresh,Shop all products,Electronics
Amazon,More from Fresh,Shop all products,Kitchen and dining
Amazon,More from Fresh,Shop all products,"Bed, bath, and more"
Amazon,More from Fresh,Shop all products,Pet Care
Amazon,More from Fresh,Shop all products,Batteries
Amazon,More from Fresh,Shop all products,Toys and games
Amazon,More from Fresh,Shop all products,Gift cards for any occasion
Amazon,More from Fresh,Shop all products,Home improvement and more
Amazon,More from Fresh,Shop all products,Hallmark gifting for every occasion
Amazon,Local & Seasonal,Local Market,Local bread & bakery
Amazon,Local & Seasonal,Local Market,Local snacks
Amazon,Local & Seasonal,Local Market,Local frozen treats
Amazon,Local & Seasonal,Local Market,"Local sauces, dips & spreads"
Amazon,Local & Seasonal,Local Market,Local ingredients for cooking & baking
Amazon,Local & Seasonal,Local Market,Local beverages
Amazon,Local & Seasonal,Local Market,Local dairy alternatives
Amazon,Local & Seasonal,Local Market,Local favorites from Halo Top Creamery
Amazon,Local & Seasonal,Local Market,Local tea & coffee
Amazon,Local & Seasonal,Gifting,Thanksgiving
Amazon,Local & Seasonal,Gifting,Birthday cards
Amazon,Local & Seasonal,Gifting,Gift cards for any occasion
Amazon,Local & Seasonal,Gifting,Birthday gift presentation
Amazon,Local & Seasonal,Gifting,Holiday gift presentation
Amazon,Local & Seasonal,Gifting,Holiday boxed cards
Amazon,Local & Seasonal,Gifting,Ornaments
Amazon,Local & Seasonal,Gifting,Holiday greeting cards
Amazon,Local & Seasonal,Gifting,Celebrate a newborn
Amazon,Local & Seasonal,Gifting,Thank you cards
Amazon,Local & Seasonal,Gifting,Gift wrap and bags
Amazon,Local & Seasonal,Gifting,"Stationery, journals, boxed sets, and giftables"
Amazon,Local & Seasonal,Gifting,Religious occasions
Amazon,Local & Seasonal,Gifting,Love and anniversary
Amazon,Local & Seasonal,Gifting,Gifting for every occasion
Amazon,Local & Seasonal,Gifting,Congratulations and thinking of you
Amazon,Local & Seasonal,Thanksgiving,Fresh produce
Amazon,Local & Seasonal,Thanksgiving,Festive staples
Amazon,Local & Seasonal,Thanksgiving,Stock your fridge
Amazon,Local & Seasonal,Thanksgiving,"Beer, wine, and spirits"
Amazon,Local & Seasonal,Thanksgiving,50% off - discount at checkout
Amazon,Local & Seasonal,Thanksgiving,Coupons on pantry staples
Amazon,Local & Seasonal,Thanksgiving,Baking essentials
Amazon,Local & Seasonal,Thanksgiving,Holiday beverages
Amazon,Local & Seasonal,Thanksgiving,Holiday essentials from Amazon brands
Amazon,Local & Seasonal,Thanksgiving,Kitchen tools for Thanksgiving
Amazon,Local & Seasonal,Thanksgiving,Thanksgiving from Hallmark
